Counter Cnt, pH
168.00000000, 3.75067190
169.00000000, 3.75401039
170.00000000, 3.75512352
171.00000000, 3.75846381
172.00000000, 3.76069142
173.00000000, 3.76514844
174.00000000, 3.76737785
175.00000000, 3.76960785
176.00000000, 3.77072308
177.00000000, 3.77406967
178.00000000, 3.77630148
179.00000000, 3.77853389
180.00000000, 3.78076689
181.00000000, 3.78300050
182.00000000, 3.78523471
183.00000000, 3.78746951
184.00000000, 3.78970492
185.00000000, 3.79194092
186.00000000, 3.79417753
187.00000000, 3.79641474
188.00000000, 3.79865254
189.00000000, 3.79977167
190.00000000, 3.80201037
191.00000000, 3.80424968
192.00000000, 3.80648958
193.00000000, 3.80873009
194.00000000, 3.80985056
195.00000000, 3.81209197
196.00000000, 3.81433397
197.00000000, 3.81657657
198.00000000, 3.81881978
199.00000000, 3.82106358
200.00000000, 3.82330798
201.00000000, 3.82555298
202.00000000, 3.82667571
203.00000000, 3.82892161
204.00000000, 3.83116811
205.00000000, 3.83341521
206.00000000, 3.83566292
207.00000000, 3.83791122
208.00000000, 3.84016012
209.00000000, 3.84240962
210.00000000, 3.84353459
211.00000000, 3.84578499
212.00000000, 3.84803599
213.00000000, 3.85028759
214.00000000, 3.85253979
215.00000000, 3.85366612
216.00000000, 3.85591921
217.00000000, 3.85817291
218.00000000, 3.86042721
219.00000000, 3.86268211
220.00000000, 3.86493761
221.00000000, 3.86719371
222.00000000, 3.86945040
223.00000000, 3.87170770
224.00000000, 3.87396560
225.00000000, 3.87509477
226.00000000, 3.87735357
227.00000000, 3.87961296
228.00000000, 3.88187296
229.00000000, 3.88413356
230.00000000, 3.88526408
231.00000000, 3.88752557
232.00000000, 3.88978767
233.00000000, 3.89205036
234.00000000, 3.89431366
235.00000000, 3.89544553
236.00000000, 3.89770973
237.00000000, 3.89997452
238.00000000, 3.90110714
239.00000000, 3.90337284
240.00000000, 3.90563913
241.00000000, 3.90677250
242.00000000, 3.90903969
243.00000000, 3.91130749
244.00000000, 3.91244161
245.00000000, 3.91471030
246.00000000, 3.91697959
247.00000000, 3.91924949
248.00000000, 3.92038466
249.00000000, 3.92265545
250.00000000, 3.92379107
251.00000000, 3.92606276
252.00000000, 3.92833505
253.00000000, 3.93060794
254.00000000, 3.93288143
255.00000000, 3.93401840
256.00000000, 3.93629279
257.00000000, 3.93743021
258.00000000, 3.93970550
259.00000000, 3.94198139
260.00000000, 3.94311956
261.00000000, 3.94539635
262.00000000, 3.94653497
263.00000000, 3.94881266
264.00000000, 3.94995173
265.00000000, 3.95223032
266.00000000, 3.95336984
267.00000000, 3.95564933
268.00000000, 3.95678929
269.00000000, 3.95906968
270.00000000, 3.96021010
271.00000000, 3.96249139
272.00000000, 3.96477328
273.00000000, 3.96591444
274.00000000, 3.96705576
275.00000000, 3.96933885
276.00000000, 3.97048062
277.00000000, 3.97276460
278.00000000, 3.97504919
279.00000000, 3.97619171
280.00000000, 3.97733438
281.00000000, 3.97847719
282.00000000, 3.98076328
283.00000000, 3.98304996
284.00000000, 3.98419353
285.00000000, 3.98648112
286.00000000, 3.98762513
287.00000000, 3.98876930
288.00000000, 3.99105809
289.00000000, 3.99220270
290.00000000, 3.99449239
291.00000000, 3.99678267
292.00000000, 3.99792804
293.00000000, 3.99907355
294.00000000, 4.00136504
295.00000000, 4.00251100
296.00000000, 4.00480339
297.00000000, 4.00709637
298.00000000, 4.00824309
299.00000000, 4.01053697
300.00000000, 4.01283145
301.00000000, 4.01397892
302.00000000, 4.01512653
303.00000000, 4.01742221
304.00000000, 4.01971850
305.00000000, 4.02086686
306.00000000, 4.02201538
307.00000000, 4.02431286
308.00000000, 4.02546182
309.00000000, 4.02776020
310.00000000, 4.02890962
311.00000000, 4.03120890
312.00000000, 4.03235876
313.00000000, 4.03465894
314.00000000, 4.03580926
315.00000000, 4.03811034
316.00000000, 4.04041202
317.00000000, 4.04156308
318.00000000, 4.04386566
319.00000000, 4.04501717
320.00000000, 4.04732065
321.00000000, 4.04847262
322.00000000, 4.05077699
323.00000000, 4.05192941
324.00000000, 4.05423469
325.00000000, 4.05538755
326.00000000, 4.05769373
327.00000000, 4.06000050
328.00000000, 4.06115412
329.00000000, 4.06230788
330.00000000, 4.06461586
331.00000000, 4.06577007
332.00000000, 4.06807895
333.00000000, 4.06923361
334.00000000, 4.07154339
335.00000000, 4.07385376
336.00000000, 4.07500917
337.00000000, 4.07616474
338.00000000, 4.07847631
339.00000000, 4.08078849
340.00000000, 4.08194480
341.00000000, 4.08310126
342.00000000, 4.08541464
343.00000000, 4.08657155
344.00000000, 4.08888582
345.00000000, 4.09004318
346.00000000, 4.09120070
347.00000000, 4.09351617
348.00000000, 4.09467413
349.00000000, 4.09699050
350.00000000, 4.09814892
351.00000000, 4.09930748
352.00000000, 4.10162505
353.00000000, 4.10278406
354.00000000, 4.10394322
355.00000000, 4.10626199
356.00000000, 4.10742160
357.00000000, 4.10858137
358.00000000, 4.11090134
359.00000000, 4.11206155
360.00000000, 4.11438242
361.00000000, 4.11670389
362.00000000, 4.11786485
363.00000000, 4.12018722
364.00000000, 4.12134863
365.00000000, 4.12367190
366.00000000, 4.12483376
367.00000000, 4.12599577
368.00000000, 4.12832024
369.00000000, 4.12948270
370.00000000, 4.13180807
371.00000000, 4.13297098
372.00000000, 4.13529725
373.00000000, 4.13646061
374.00000000, 4.13878778
375.00000000, 4.13995159
376.00000000, 4.14111555
377.00000000, 4.14344392
378.00000000, 4.14460832
379.00000000, 4.14693759
380.00000000, 4.14810245
381.00000000, 4.15043262
382.00000000, 4.15276339
383.00000000, 4.15392899
384.00000000, 4.15509475
385.00000000, 4.15742672
386.00000000, 4.15975929
387.00000000, 4.16092579
388.00000000, 4.16325926
389.00000000, 4.16442622
390.00000000, 4.16676058
391.00000000, 4.16792799
392.00000000, 4.17026326
393.00000000, 4.17143112
394.00000000, 4.17259912
395.00000000, 4.17493559
396.00000000, 4.17610404
397.00000000, 4.17844141
398.00000000, 4.17961032
399.00000000, 4.18194858
400.00000000, 4.18311794
401.00000000, 4.18428744
402.00000000, 4.18662691
403.00000000, 4.18896697
404.00000000, 4.19013723
405.00000000, 4.19130764
406.00000000, 4.19364890
407.00000000, 4.19481975
408.00000000, 4.19599076
409.00000000, 4.19833322
410.00000000, 4.19950468
411.00000000, 4.20184804
412.00000000, 4.20301995
413.00000000, 4.20536421
414.00000000, 4.20653657
415.00000000, 4.20770907
416.00000000, 4.20888173
417.00000000, 4.21122749
418.00000000, 4.21357385
419.00000000, 4.21474725
420.00000000, 4.21592081
421.00000000, 4.21826837
422.00000000, 4.21944238
423.00000000, 4.22179084
424.00000000, 4.22413990
425.00000000, 4.22413990
426.00000000, 4.22648955
427.00000000, 4.22883981
428.00000000, 4.23001517
429.00000000, 4.23236633
430.00000000, 4.23354213
431.00000000, 4.23471809
432.00000000, 4.23589419
433.00000000, 4.23824685
434.00000000, 4.23942340
435.00000000, 4.24177696
436.00000000, 4.24295396
437.00000000, 4.24413112
438.00000000, 4.24530842
439.00000000, 4.24766348
440.00000000, 4.24884123
441.00000000, 4.25001914
442.00000000, 4.25119719
443.00000000, 4.25355375
444.00000000, 4.25473225
445.00000000, 4.25591090
446.00000000, 4.25708971
447.00000000, 4.25826866
448.00000000, 4.26062702
449.00000000, 4.26180642
450.00000000, 4.26416567
451.00000000, 4.26534553
452.00000000, 4.26652553
453.00000000, 4.26770568
454.00000000, 4.27006644
455.00000000, 4.27242779
456.00000000, 4.27360869
457.00000000, 4.27478975
458.00000000, 4.27597095
459.00000000, 4.27833380
460.00000000, 4.28069726
461.00000000, 4.28187921
462.00000000, 4.28306131
463.00000000, 4.28424356
464.00000000, 4.28660852
465.00000000, 4.28779122
466.00000000, 4.28897407
467.00000000, 4.29134022
468.00000000, 4.29252352
469.00000000, 4.29370697
470.00000000, 4.29725823
471.00000000, 4.29725823
472.00000000, 4.29962648
473.00000000, 4.30081083
474.00000000, 4.30317998
475.00000000, 4.30436478
476.00000000, 4.30673483
477.00000000, 4.30910549
478.00000000, 4.31029104
479.00000000, 4.31266259
480.00000000, 4.31384859
481.00000000, 4.31622104
482.00000000, 4.31740749
483.00000000, 4.31978084
484.00000000, 4.32096774
485.00000000, 4.32334199
486.00000000, 4.32334199
487.00000000, 4.32571684
488.00000000, 4.32809228
489.00000000, 4.33046833
490.00000000, 4.33165658
491.00000000, 4.33284498
492.00000000, 4.33522223
493.00000000, 4.33641108
494.00000000, 4.33760008
495.00000000, 4.33997853
496.00000000, 4.34116798
497.00000000, 4.34354732
498.00000000, 4.34473722
499.00000000, 4.34592727
500.00000000, 4.34830782
501.00000000, 4.34949832
502.00000000, 4.35187976
503.00000000, 4.35307071
504.00000000, 4.35426181
505.00000000, 4.35545306
506.00000000, 4.35783600
507.00000000, 4.35902770
508.00000000, 4.36021955
509.00000000, 4.36260369
510.00000000, 4.36379599
511.00000000, 4.36498844
512.00000000, 4.36737378
513.00000000, 4.36975973
514.00000000, 4.37095293
515.00000000, 4.37214627
516.00000000, 4.37453342
517.00000000, 4.37572721
518.00000000, 4.37811526
519.00000000, 4.37930951
520.00000000, 4.38169845
521.00000000, 4.38289315
522.00000000, 4.38528299
523.00000000, 4.38767343
524.00000000, 4.38886888
525.00000000, 4.39006447
526.00000000, 4.39126022
527.00000000, 4.39365216
528.00000000, 4.39484836
529.00000000, 4.39724120
530.00000000, 4.39843785
531.00000000, 4.39963464
532.00000000, 4.40202868
533.00000000, 4.40322593
534.00000000, 4.40442333
