Counter Cnt, pH,,
165,4.19950468,164.5,0.00234276
166,4.20301995,165.5,0.00351527
167,4.20770907,166.5,0.00468912
168,4.21005453,167.5,0.00234546
169,4.21357385,168.5,0.00351932
170,4.21709451,169.5,0.00352066
171,4.22061653,170.5,0.00352202
172,4.2241399,171.5,0.00352337
173,4.22766461,172.5,0.00352471
174,4.23119067,173.5,0.00352606
175,4.23471809,174.5,0.00352742
176,4.23707044,175.5,0.00235235
177,4.24060011,176.5,0.00352967
178,4.24295396,177.5,0.00235385
179,4.24648588,178.5,0.00353192
180,4.25001914,179.5,0.00353326
181,4.25237539,180.5,0.00235625
182,4.25473225,181.5,0.00235686
183,4.25826866,182.5,0.00353641
184,4.26180642,183.5,0.00353776
185,4.26416567,184.5,0.00235925
186,4.26770568,185.5,0.00354001
187,4.27124704,186.5,0.00354136
188,4.27478975,187.5,0.00354271
189,4.2771523,188.5,0.00236255
190,4.28069726,189.5,0.00354496
191,4.28424356,190.5,0.0035463
192,4.28660852,191.5,0.00236496
193,4.29015707,192.5,0.00354855
194,4.29252352,193.5,0.00236645
195,4.29607433,194.5,0.00355081
196,4.29962648,195.5,0.00355215
197,4.30317998,196.5,0.0035535
198,4.30554973,197.5,0.00236975
199,4.31147674,198.5,0.00592701
200,4.31384859,199.5,0.00237185
201,4.31859409,200.5,0.0047455
202,4.32215479,201.5,0.0035607
203,4.32452934,202.5,0.00237455
204,4.32809228,203.5,0.00356294
205,4.33165658,204.5,0.0035643
206,4.33522223,205.5,0.00356565
207,4.33760008,206.5,0.00237785
208,4.34116798,207.5,0.0035679
209,4.34592727,208.5,0.00475929
210,4.34830782,209.5,0.00238055
211,4.35068896,210.5,0.00238114
212,4.35426181,211.5,0.00357285
213,4.35545306,212.5,0.00119125
214,4.3590277,213.5,0.00357464
215,4.36141155,214.5,0.00238385
216,4.36379599,215.5,0.00238444
217,4.36618104,216.5,0.00238505
218,4.36975973,217.5,0.00357869
219,4.37214627,218.5,0.00238654
220,4.37692116,219.5,0.00477489
221,4.3805039,220.5,0.00358274
222,4.38289315,221.5,0.00238925
223,4.38647814,222.5,0.00358499
224,4.39006447,223.5,0.00358633
225,4.39365216,224.5,0.00358769
226,4.39604471,225.5,0.00239255
227,4.39843785,226.5,0.00239314
228,4.40083159,227.5,0.00239374
229,4.40442333,228.5,0.00359174
230,4.40801641,229.5,0.00359308
231,4.41161085,230.5,0.00359444
232,4.41520663,231.5,0.00359578
233,4.41880377,232.5,0.00359714
234,4.42240225,233.5,0.00359848
235,4.42480199,234.5,0.00239974
236,4.42840272,235.5,0.00360073
237,4.43080396,236.5,0.00240124
238,4.43440695,237.5,0.00360299
239,4.43921302,238.5,0.00480607
240,4.44161696,239.5,0.00240394
241,4.44522399,240.5,0.00360703
242,4.44883237,241.5,0.00360838
243,4.45123871,242.5,0.00240634
244,4.45605318,243.5,0.00481447
245,4.45966561,244.5,0.00361243
246,4.46207464,245.5,0.00240903
247,4.46568932,246.5,0.00361468
248,4.46809985,247.5,0.00241053
249,4.47292272,248.5,0.00482287
250,4.47654145,249.5,0.00361873
251,4.48016152,250.5,0.00362007
252,4.48257566,251.5,0.00241414
253,4.48619798,252.5,0.00362232
254,4.48861362,253.5,0.00241564
255,4.49223819,254.5,0.00362457
256,4.49586411,255.5,0.00362592
257,4.49949138,256.5,0.00362727
258,4.50312001,257.5,0.00362863
259,4.50553984,258.5,0.00241983
260,4.5103813,259.5,0.00484146
261,4.51401397,260.5,0.00363267
262,4.51764799,261.5,0.00363402
263,4.52128336,262.5,0.00363537
264,4.52370769,263.5,0.00242433
265,4.5273453,264.5,0.00363761
266,4.53098427,265.5,0.00363897
267,4.53462459,266.5,0.00364032
268,4.53826626,267.5,0.00364167
269,4.54069478,268.5,0.00242852
270,4.5443387,269.5,0.00364392
271,4.54798396,270.5,0.00364526
272,4.55163058,271.5,0.00364662
273,4.55406241,272.5,0.00243183
274,4.55771127,273.5,0.00364886
275,4.56014459,274.5,0.00243332
276,4.56379571,275.5,0.00365112
277,4.56623053,276.5,0.00243482
278,4.56988389,277.5,0.00365336
279,4.57232022,278.5,0.00243633
280,4.57719467,279.5,0.00487445
281,4.58085208,280.5,0.00365741
282,4.5832911,281.5,0.00243902
283,4.58817094,282.5,0.00487984
284,4.5918324,283.5,0.00366146
285,4.59427413,284.5,0.00244173
286,4.59793783,285.5,0.0036637
287,4.60160289,286.5,0.00366506
288,4.6052693,287.5,0.00366641
289,4.60893705,288.5,0.00366775
290,4.61260616,289.5,0.00366911
291,4.6175004,290.5,0.00489424
292,4.62239704,291.5,0.00489664
293,4.62607109,292.5,0.00367405
294,4.62974649,293.5,0.0036754
295,4.63342324,294.5,0.00367675
296,4.63710135,295.5,0.00367811
297,4.6407808,296.5,0.00367945
298,4.6444616,297.5,0.0036808
299,4.64691622,298.5,0.00245462
300,4.65182725,299.5,0.00491103
301,4.6555121,300.5,0.00368485
302,4.6591983,301.5,0.0036862
303,4.66288584,302.5,0.00368754
304,4.66657474,303.5,0.0036889
305,4.67026499,304.5,0.00369025
306,4.67395658,305.5,0.00369159
307,4.67764953,306.5,0.00369295
308,4.68134382,307.5,0.00369429
309,4.68627165,308.5,0.00492783
310,4.68996909,309.5,0.00369744
311,4.69243481,310.5,0.00246572
312,4.69736803,311.5,0.00493322
313,4.70106952,312.5,0.00370149
314,4.70477236,313.5,0.00370284
315,4.70847656,314.5,0.0037042
316,4.7121821,315.5,0.00370554
317,4.71588899,316.5,0.00370689
318,4.71959723,317.5,0.00370824
319,4.72454364,318.5,0.00494641
320,4.72701775,319.5,0.00247411
321,4.73073004,320.5,0.00371229
322,4.73444368,321.5,0.00371364
323,4.73939729,322.5,0.00495361
324,4.74311408,323.5,0.00371679
325,4.74683221,324.5,0.00371813
326,4.7505517,325.5,0.00371949
327,4.75427253,326.5,0.00372083
328,4.75923575,327.5,0.00496322
329,4.76420136,328.5,0.00496561
330,4.76792714,329.5,0.00372578
331,4.77165427,330.5,0.00372713
332,4.77538275,331.5,0.00372848
333,4.78159989,332.5,0.00621714
334,4.78533197,333.5,0.00373208
335,4.79031017,334.5,0.0049782
336,4.7940454,335.5,0.00373523
337,4.79778198,336.5,0.00373658
338,4.8015199,337.5,0.00373792
339,4.80525918,338.5,0.00373928
340,4.80899981,339.5,0.00374063
341,4.81398941,340.5,0.0049896
342,4.81773318,341.5,0.00374377
343,4.82147831,342.5,0.00374513
344,4.82647391,343.5,0.0049956
345,4.83022218,344.5,0.00374827
346,4.83522198,345.5,0.0049998
347,4.84022417,346.5,0.00500219
348,4.84397739,347.5,0.00375322
349,4.84898379,348.5,0.0050064
350,4.85274016,349.5,0.00375637
351,4.85649788,350.5,0.00375772
352,4.86025694,351.5,0.00375906
353,4.86401736,352.5,0.00376042
354,4.86903335,353.5,0.00501599
355,4.87279692,354.5,0.00376357
356,4.87656184,355.5,0.00376492
357,4.8803281,356.5,0.00376626
358,4.88409572,357.5,0.00376762
359,4.88786468,358.5,0.00376896
360,4.891635,359.5,0.00377032
361,4.89666418,360.5,0.00502918
362,4.90169576,361.5,0.00503158
363,4.90547103,362.5,0.00377527
364,4.90798862,363.5,0.00251759
365,4.9130256,364.5,0.00503698
366,4.91806498,365.5,0.00503938
367,4.92310676,366.5,0.00504178
368,4.92815094,367.5,0.00504418
369,4.93319752,368.5,0.00504658
370,4.93698402,369.5,0.0037865
371,4.9420348,370.5,0.00505078
372,4.94835164,371.5,0.00631684
373,4.95214355,372.5,0.00379191
374,4.95846639,373.5,0.00632284
375,4.96226189,374.5,0.0037955
376,4.96605875,375.5,0.00379686
377,4.97238983,376.5,0.00633108
378,4.9774574,377.5,0.00506757
379,4.98379524,378.5,0.00633784
380,4.9888682,379.5,0.00507296
381,4.99394357,380.5,0.00507537
382,4.99902134,381.5,0.00507777
383,5.0041015,382.5,0.00508016
384,5.00918406,383.5,0.00508256
385,5.01299756,384.5,0.0038135
386,5.0168124,385.5,0.00381484
387,5.02190097,386.5,0.00508857
388,5.02699193,387.5,0.00509096
389,5.03081172,388.5,0.00381979
390,5.03590688,389.5,0.00509516
391,5.03972982,390.5,0.00382294
392,5.04482918,391.5,0.00509936
393,5.04993093,392.5,0.00510175
394,5.05503508,393.5,0.00510415
395,5.06014164,394.5,0.00510656
396,5.06397313,395.5,0.00383149
397,5.06908388,396.5,0.00511075
398,5.07291852,397.5,0.00383464
399,5.07803347,398.5,0.00511495
400,5.08315082,399.5,0.00511735
401,5.0869904,400.5,0.00383958
402,5.09211195,401.5,0.00512155
403,5.09723589,402.5,0.00512394
404,5.1036442,403.5,0.00640831
405,5.11005626,404.5,0.00641206
406,5.11390529,405.5,0.00384903
407,5.11903943,406.5,0.00513414
408,5.12417597,407.5,0.00513654
409,5.12931491,408.5,0.00513894
410,5.13317069,409.5,0.00385578
411,5.13959999,410.5,0.0064293
412,5.14603303,411.5,0.00643304
413,5.14989466,412.5,0.00386163
414,5.1550456,413.5,0.00515094
415,5.15891037,414.5,0.00386477
416,5.16535466,415.5,0.00644429
417,5.17051279,416.5,0.00515813
418,5.17567333,417.5,0.00516054
419,5.18083626,418.5,0.00516293
420,5.18471003,419.5,0.00387377
421,5.18987716,420.5,0.00516713
422,5.19246162,421.5,0.00258446
423,5.19763235,422.5,0.00517073
424,5.20280547,423.5,0.00517312
425,5.207981,424.5,0.00517553
426,5.21186422,425.5,0.00388322
427,5.21704394,426.5,0.00517972
428,5.22093031,427.5,0.00388637
429,5.22611423,428.5,0.00518392
430,5.23130055,429.5,0.00518632
431,5.23519186,430.5,0.00389131
432,5.23908453,431.5,0.00389267
433,5.24427685,432.5,0.00519232
434,5.24817266,433.5,0.00389581
435,5.25466868,434.5,0.00649602
436,5.25856809,435.5,0.00389941
437,5.26376941,436.5,0.00520132
438,5.26767197,437.5,0.00390256
439,5.27417923,438.5,0.00650726
440,5.27808539,439.5,0.00390616
441,5.2832957,440.5,0.00521031
442,5.28850841,441.5,0.00521271
443,5.29241952,442.5,0.00391111
444,5.29763643,443.5,0.00521691
445,5.30285573,444.5,0.0052193
446,5.30677179,445.5,0.00391606
447,5.31330154,446.5,0.00652975
448,5.3172212,447.5,0.00391966
449,5.3224495,448.5,0.0052283
450,5.3276802,449.5,0.0052307
451,5.33291331,450.5,0.00523311
452,5.33814881,451.5,0.0052355
453,5.34338671,452.5,0.0052379
454,5.34731671,453.5,0.00393
455,5.3538697,454.5,0.00655299
456,5.3578033,455.5,0.0039336
457,5.36173825,456.5,0.00393495
458,5.36698694,457.5,0.00524869
459,5.37223804,458.5,0.0052511
460,5.37617793,459.5,0.00393989
461,5.38143322,460.5,0.00525529
462,5.38669092,461.5,0.0052577
463,5.39195101,462.5,0.00526009
464,5.39589765,463.5,0.00394664
465,5.40116194,464.5,0.00526429
466,5.40511173,465.5,0.00394979
467,5.41038022,466.5,0.00526849
468,5.4156511,467.5,0.00527088
469,5.42092439,468.5,0.00527329
470,5.42488093,469.5,0.00395654
471,5.43015841,470.5,0.00527748
472,5.43543829,471.5,0.00527988
473,5.44072057,472.5,0.00528228
474,5.44468386,473.5,0.00396329
475,5.44997034,474.5,0.00528648
476,5.45393677,475.5,0.00396643
477,5.45790456,476.5,0.00396779
478,5.46319703,477.5,0.00529247
479,5.46849191,478.5,0.00529488
480,5.47378919,479.5,0.00529728
481,5.47776372,480.5,0.00397453
482,5.48306519,481.5,0.00530147
483,5.48704287,482.5,0.00397768
484,5.49234854,483.5,0.00530567
485,5.49632937,484.5,0.00398083
486,5.50163924,485.5,0.00530987
487,5.50562322,486.5,0.00398398
488,5.51093729,487.5,0.00531407
489,5.51625375,488.5,0.00531646
490,5.52024268,489.5,0.00398893
491,5.52423295,490.5,0.00399027
492,5.52955542,491.5,0.00532247
493,5.53221755,492.5,0.00266213
494,5.53621187,493.5,0.00399432
495,5.54020755,494.5,0.00399568
496,5.54420457,495.5,0.00399702
497,5.54953603,496.5,0.00533146
498,5.5535362,497.5,0.00400017
499,5.55887186,498.5,0.00533566
500,5.56420992,499.5,0.00533806
501,5.56821504,500.5,0.00400512
502,5.57355729,501.5,0.00534225
503,5.57756556,502.5,0.00400827
504,5.58157518,503.5,0.00400962
505,5.58558614,504.5,0.00401096
506,5.58959846,505.5,0.00401232
507,5.59495031,506.5,0.00535185
508,5.60030456,507.5,0.00535425
509,5.60298259,508.5,0.00267803
510,5.60834044,509.5,0.00535785
511,5.61370069,510.5,0.00536025
512,5.61772245,511.5,0.00402176
513,5.6230869,512.5,0.00536445
514,5.62711181,513.5,0.00402491
515,5.63113807,514.5,0.00402626
516,5.63516568,515.5,0.00402761
517,5.64053792,516.5,0.00537224
518,5.64456868,517.5,0.00403076
519,5.64860079,518.5,0.00403211
520,5.65263425,519.5,0.00403346
521,5.65801429,520.5,0.00538004
522,5.66205089,521.5,0.0040366
523,5.66608885,522.5,0.00403796
524,5.67012815,523.5,0.0040393
525,5.67416881,524.5,0.00404066
526,5.67955845,525.5,0.00538964
527,5.68225416,526.5,0.00269571
528,5.68629887,527.5,0.00404471
529,5.6916939,528.5,0.00539503
530,5.69439232,529.5,0.00269842
531,5.69979095,530.5,0.00539863
532,5.7038415,531.5,0.00405055
533,5.7078934,532.5,0.0040519
534,5.71194665,533.5,0.00405325
535,5.71600125,534.5,0.0040546
536,5.7200572,535.5,0.00405595
537,5.72411449,536.5,0.00405729
538,5.72817314,537.5,0.00405865
539,5.73223314,538.5,0.00406
540,5.73494055,539.5,0.00270741
541,5.74035718,540.5,0.00541663
542,5.74306639,541.5,0.00270921
543,5.74713134,542.5,0.00406495
544,5.75255336,543.5,0.00542202
545,5.75526527,544.5,0.00271191
546,5.75933426,545.5,0.00406899
547,5.76476169,546.5,0.00542743
548,5.76883383,547.5,0.00407214
549,5.77290732,548.5,0.00407349
550,5.77698216,549.5,0.00407484
551,5.78105835,550.5,0.00407619
552,5.78513589,551.5,0.00407754
553,5.78921477,552.5,0.00407888
554,5.79329501,553.5,0.00408024
555,5.7973766,554.5,0.00408159
556,5.80282082,555.5,0.00544422
557,5.80690555,556.5,0.00408473
558,5.81099164,557.5,0.00408609
559,5.81371644,558.5,0.0027248
560,5.81780478,559.5,0.00408834
561,5.82189446,560.5,0.00408968
562,5.82734947,561.5,0.00545501
563,5.83144231,562.5,0.00409284
564,5.83417161,563.5,0.0027293
565,5.83826669,564.5,0.00409508
566,5.84236312,565.5,0.00409643
567,5.8464609,566.5,0.00409778
568,5.85056003,567.5,0.00409913
569,5.85466051,568.5,0.00410048
570,5.85876234,569.5,0.00410183
571,5.86286552,570.5,0.00410318
572,5.86697005,571.5,0.00410453
573,5.87107593,572.5,0.00410588
574,5.87518315,573.5,0.00410722
575,5.87792205,574.5,0.0027389
576,5.88203153,575.5,0.00410948
577,5.88477193,576.5,0.0027404
578,5.88888366,577.5,0.00411173
579,5.89299673,578.5,0.00411307
580,5.89711115,579.5,0.00411442
581,5.90122693,580.5,0.00411578
582,5.90397153,581.5,0.0027446
583,5.90946252,582.5,0.00549099
584,5.91358234,583.5,0.00411982
585,5.91770352,584.5,0.00412118
586,5.92182604,585.5,0.00412252
